street_address,phone_number,zip_code,has_501c3,fips_county_code,bed_count,city,state_or_region,name_common,name_legal,ccn,facility_type,medicare_medicaid_eligible,lat,lon,ein
50 north dunlap,9015167270,38103,,157,0,memphis,TN,lebonheur children's medical transplant center,,449805,Transplant Hospitals,true,,,
1265 union avenue,9015167270,38104,,157,0,memphis,TN,methodist hc transplant,,449806,Transplant Hospitals,true,,,
975 east third street,4237782174,37403,,065,0,chattanooga,TN,erlanger regional kidney transplant,,449807,Transplant Hospitals,true,,,
4220 harding road,6152225480,37205,,037,0,nashville,TN,st thomas hospital transplant,,449808,Transplant Hospitals,true,,,
2001 n oregon st,9155776011,79902,true,141,500,el paso,TX,the hospitals of providence memorial campus,,450002,Short Term,true,,,
551 hill country drive,8308964200,78028,,265,124,kerrville,TX,peterson regional medical center,,450007,Short Term,true,,,
1600 11th street,9407643055,76301,,485,565,wichita falls,TX,united regional health care system,,450010,Short Term,true,,,
2801 franciscan dr,9797763912,77802,,041,316,bryan,TX,chi st joseph health regional hospital,,450011,Short Term,true,,,
5200 harry hines blvd,2145908000,75235,,113,968,dallas,TX,parkland health and hospital system,,450015,Short Term,true,,,
301 university boulevard,4097721011,77555,true,167,1236,galveston,TX,university of texas medical branch,,450018,Short Term,true,,,
3500 gaston ave,2148200111,75246,true,113,914,dallas,TX,baylor university medical center,,450021,Short Term,true,,,
2701 hospital drive,3615739181,77901,,469,265,victoria,TX,citizens medical center,,450023,Short Term,true,,,
4815 alameda ave,9155217602,79905,,141,354,el paso,TX,university medical center of el paso,,450024,Short Term,true,,,
1040 w jefferson st,9565441400,78520,true,061,240,brownsville,TX,valley baptist medical center- brownsville,,450028,Short Term,true,,,
1700 east saunders,9567965000,78044,true,479,326,laredo,TX,laredo medical center,,450029,Short Term,true,,,
700 e marshall ave,9039276712,75601,,183,574,longview,TX,christus good shepherd medical center,,450032,Short Term,true,,,
2101 pease st,9563891100,78550,true,061,578,harlingen,TX,vhs harlingen hospital company llc,,450033,Short Term,true,,,
2830 calder avenue,4098927171,77702,,245,666,beaumont,TX,christus southeast texas- st elizabeth,,450034,Short Term,true,,,
1401 st. joseph parkway,7137571000,77002,,201,792,houston,TX,st joseph medical center,,450035,Short Term,true,,,
1500 s main st,8179213431,76104,,439,429,fort worth,TX,jps health network,,450039,Short Term,true,,,
3615 19th street,8067254431,79410,,303,381,lubbock,TX,covenant medical center,,450040,Short Term,true,,,
6901 medical parkway,2547514000,76712,,309,278,waco,TX,ascension providence depaul,,450042,Short Term,true,,,
6201 harry hines blvd,2146335555,75390,true,113,550,dallas,TX,ut southwestern university hospital,,450044,Short Term,true,,,
600 elizabeth street,3619024103,78404,,355,1040,corpus christi,TX,christus spohn hospital corpus christi,,450046,Short Term,true,,,
1441 north beckley avenue,2149472879,75203,,113,478,dallas,TX,methodist dallas medical center,,450051,Short Term,true,,,
2401 s  31st st,2547242111,76508,,027,636,temple,TX,baylor scott & white medical  center - temple,,450054,Short Term,true,,,
200 e arizona,3252351701,79556,,353,85,sweetwater,TX,rolling plains memorial hospital,,450055,Short Term,true,,,
1201 w 38th st,5123241000,78705,,453,521,austin,TX,ascension seton medical center austin,,450056,Short Term,true,,,
111 dallas street,2102978256,78205,true,029,1826,san antonio,TX,baptist medical center,,450058,Short Term,true,,,
800 w randol mill rd,8175486100,76012,,439,369,arlington,TX,texas health arlington memorial hospital,,450064,Short Term,true,,,
6411 fannin,7137043700,77030,,201,1098,houston,TX,memorial hermann texas medical center,,450068,Short Term,true,,,
100 medical drive,9792974411,77566,,039,165,lake jackson,TX,chi st luke's health brazosport,,450072,Short Term,true,,,
1515 holcombe blvd,7137922121,77030,true,201,666,houston,TX,"university of texas m d anderson cancer center,the",,450076,Short Term,true,,,
101 avenue j,3258233231,79501,,253,45,anson,TX,anson general hospital,,450078,Short Term,true,,,
1901 n macarthur blvd,9725798100,75061,,113,288,irving,TX,baylor scott and white medical center  irving,,450079,Short Term,true,,,
2001 n jefferson,9035776000,75455,,449,165,mount pleasant,TX,titus regional medical center,,450080,Short Term,true,,,
1500 e houston hwy,3613542000,78102,true,025,69,beeville,TX,christus spohn hospital beeville,,450082,Short Term,true,,,
1000 south beckham ave,9035970351,75701,true,423,432,tyler,TX,ut health east texas tyler regional hospital,,450083,Short Term,true,,,
1301 montgomery road,9405493400,76450,,503,42,graham,TX,graham regional medical center,,450085,Short Term,true,,,
4401 booth calloway road,8172551000,76180,true,439,140,north richland hills,TX,medical city north hills,,450087,Short Term,true,,,
1900 hospital blvd,9406128600,76240,,097,60,gainesville,TX,north texas medical center,,450090,Short Term,true,,,
3333 n foster maldonado blvd,8307735321,78852,true,323,101,eagle pass,TX,fort duncan medical center,,450092,Short Term,true,,,
4000 spencer hwy,7133591000,77504,true,201,481,pasadena,TX,hca houston healthcare southeast,,450097,Short Term,true,,,
1 medical plaza,8066653721,79065,,179,109,pampa,TX,pampa regional medical center,,450099,Short Term,true,,,
100 hillcrest medical blvd,2542022000,76712,,309,260,waco,TX,baylor scott & white medical center hillcrest,,450101,Short Term,true,,,
800 east dawson,9035938441,75701,,423,537,tyler,TX,christus mother frances hospital,,450102,Short Term,true,,,
1215 e court st,8303792411,78155,,187,153,seguin,TX,guadalupe regional medical center,,450104,Short Term,true,,,
1801 north oregon street,9155211200,79902,true,141,642,el paso,TX,las palmas medical center a campus of lpds healthc,,450107,Short Term,true,,,
499 10th street,8303931300,78114,,493,44,floresville,TX,connally memorial medical center,,450108,Short Term,true,,,
1102 w trenton road,9566324484,78539,true,215,870,edinburg,TX,south texas health system behavioral,,450119,Short Term,true,,,
601 e 15th street,5123247000,78701,,453,210,austin,TX,dell seton  med center at the university of tx,,450124,Short Term,true,,,
1401 east eight street,9569688567,78596,,215,233,weslaco,TX,knapp medical center,,450128,Short Term,true,,,
500 w 4th street,4326404000,79761,,135,402,odessa,TX,medical center hospital,,450132,Short Term,true,,,
400 rosalind redfern grover parkway,4326851111,79701,,329,540,midland,TX,midland memorial hospital,,450133,Short Term,true,,,
1301 pennsylvania avenue,8172502100,76104,true,439,610,fort worth,TX,texas health harris methodist fort worth,,450135,Short Term,true,,,
1400 eighth ave,8179262544,76104,,439,538,fort worth,TX,baylor scott and white all saints medical center,,450137,Short Term,true,,,
1201 hill rd attn: fin dir,5122373214,78957,true,021,36,smithville,TX,seton smithville regional hospital,,450143,Short Term,true,,,
720 hospital drive,4325232200,79714,,3,36,andrews,TX,permian regional medical center andrews county ho,,450144,Short Term,true,,,
506 e san antonio st,3615757441,77901,true,469,163,victoria,TX,detar healthcare system,,450147,Short Term,true,,,
201 walls drive,8176412551,76033,true,251,137,cleburne,TX,texas health harris methodist hospital cleburne,,450148,Short Term,true,,,
2201 s clear creek road,2545267523,76542,true,027,232,killeen,TX,adventhealth central texas,,450152,Short Term,true,,,
801 bedell ave,8307758566,78840,,465,93,del rio,TX,val verde regional medical center,,450154,Short Term,true,,,
801 east third,8063642141,79045,,117,42,hereford,TX,hereford regional medical center,,450155,Short Term,true,,,
2412 50th st,8067884100,79412,,303,123,lubbock,TX,grace surgical hospital,,450162,Short Term,true,,,
1311 general cavazos blvd,3615951661,78363,,273,96,kingsville,TX,christus spohn hospital kleberg,,450163,Short Term,true,,,
1905 hwy 97 east,8307693515,78026,true,013,67,jourdanton,TX,methodist hospital | atascosa,,450165,Short Term,true,,,
900 south bryan road,9563239000,78572,,215,297,mission,TX,mission regional medical center,,450176,Short Term,true,,,
1635  north loop west,7134486796,77008,,201,1515,houston,TX,memorial hermann hospital system,,450184,Short Term,true,,,
"6720 bertner ave, ste mc1-266",8323551000,77030,true,201,881,houston,TX,chi st luke's health baylor college of medicine me,,450193,Short Term,true,,,
501 s ragsdale,9035415000,75766,true,073,74,jacksonville,TX,ut health east texas jacksonville hospital,,450194,Short Term,true,,,
865 deshong dr,9037854521,75460,true,277,368,paris,TX,paris regional medical center,,450196,Short Term,true,,,
1000 pine street,9037988000,75501,,037,370,texarkana,TX,wadley regional medical center,,450200,Short Term,true,,,
713 e anderson st,8175991190,76086,true,367,99,weatherford,TX,medical city weatherford,,450203,Short Term,true,,,
1501 s  coulter st,8063541110,79106,,375,495,amarillo,TX,northwest texas hospital,,450209,Short Term,true,,,
409 cottage rd,936933841,75633,true,365,42,carthage,TX,ut health east texas carthage hospital,,450210,Short Term,true,,,
1201 west frank street,9366348111,75901,,5,279,lufkin,TX,chi st lukes health memorial lufkin,,450211,Short Term,true,,,
4502 medical dr,2103582637,78229,,029,1034,san antonio,TX,university health system,,450213,Short Term,true,,,
504 medical center blvd,9365391111,77304,true,339,328,conroe,TX,hca houston healthcare conroe,,450222,Short Term,true,,,
1900 pine,3256702000,79601,,441,540,abilene,TX,hendrick medical center,,450229,Short Term,true,,,
1600 wallace blvd,8062122000,79106,true,375,445,amarillo,TX,baptist st anthony's hospital,,450231,Short Term,true,,,
1110 north sarah dewitt drive,8306727581,78629,,177,35,gonzales,TX,memorial hospital,,450235,Short Term,true,,,
115 airport rd,9038857671,75482,,223,96,sulphur springs,TX,christus mother frances hospital sulphur springs,,450236,Short Term,true,,,
2827 babcock road,2107043342,78229,true,029,601,san antonio,TX,christus santa rosa medical center,,450237,Short Term,true,,,
215 chisholm trail,9405676633,76458,,237,41,jacksboro,TX,faith community hospital,,450241,Short Term,true,,,
44 n cummings st,9798653141,77418,,015,32,bellville,TX,bellville st joseph health center,,450253,Short Term,true,,,
609 medical center drive,9406275921,76234,,497,85,decatur,TX,wise regional health system,,450271,Short Term,true,,,
1301 wonder world drive,5127533690,78666,true,209,170,san marcos,TX,christus santa rosa hospital-san marcos,,450272,Short Term,true,,,
2525 holly hall,7135666417,77054,,201,975,houston,TX,harris health system,,450289,Short Term,true,,,
850 ed hall,9729327200,75142,,257,91,kaufman,TX,texas health presbyterian hospital kaufman,,450292,Short Term,true,,,
5016 s us highway 75,9034164000,75020,true,181,326,denison,TX,texoma medical center,,450324,Short Term,true,,,
1705 jackson st,2813413000,77469,true,157,243,richmond,TX,oakbend medical center,,450330,Short Term,true,,,
3080 college street,4092125012,77701,,245,483,beaumont,TX,baptist beaumont hospital,,450346,Short Term,true,,,
110 memorial hospital drive,9362913411,77340,,471,144,huntsville,TX,huntsville memorial hospital,,450347,Short Term,true,,,
322 coleman street,2548033561,76661,,145,44,marlin,TX,falls community hospital and clinic,,450348,Short Term,true,,,
411 n belknap st,2549651500,76401,,143,98,stephenville,TX,texas health harris methodist hospital stephenvill,,450351,Short Term,true,,,
4215 joe ramsey blvd e,9034085000,75401,,231,192,greenville,TX,hunt regional healthcare,,450352,Short Term,true,,,
6565 fannin,7137902221,77030,,201,1299,houston,TX,houston methodist hospital,,450358,Short Term,true,,,
,,77462,,481,22,newgulf,TX,texas gulf sulphur co hosp,,45035E,,false,,,
hwy 83 north,9409376371,79201,,075,39,childress,TX,childress regional medical center,,450369,Short Term,true,,,
110 shult dr,9797322371,78934,,089,40,columbus,TX,columbus community hospital,,450370,Short Term,true,,,
2400 n interstate highway 35e,9729237000,75165,,139,129,waxahachie,TX,baylor scott & white medical center- waxahachie,,450372,Short Term,true,,,
7 medical parkway,9722471000,75234,true,113,155,dallas,TX,dallas medical center,,450379,Short Term,true,,,
7700 floyd curl dr,2105754000,78229,true,029,2071,san antonio,TX,methodist hospital,,450388,Short Term,true,,,
2000 south palestine st,9036761000,75751,true,213,127,athens,TX,ut health east texas athens hospital,,450389,Short Term,true,,,
1717 hwy 59 bypass,9363274381,77351,,373,66,livingston,TX,chi st lukes health memorial livingston,,450395,Short Term,true,,,
705 east felt street,8066373551,79316,,445,48,brownfield,TX,brownfield regional medical center,,450399,Short Term,true,,,
600 south bonham street,2545625332,76667,true,293,59,mexia,TX,parkview regional hospital,,450400,Short Term,true,,,
4500 medical center drive,9725478000,75069,true,085,225,mckinney,TX,medical city mckinney,,450403,Short Term,true,,,
304 s daugherty street,2546315342,76448,,133,83,eastland,TX,eastland memorial hospital,,450411,Short Term,true,,,
108 denver trail,8174448700,76020,true,439,36,azle,TX,texas health harris methodist hospital azle,,450419,Short Term,true,,,
2727 east lemmon avenue building i,2144433000,75204,true,113,28,dallas,TX,baylor scott and white medical center uptown,,450422,Short Term,true,,,
4401 garth road,2814208600,77521,,201,230,baytown,TX,houston methodist baytown hospital,,450424,Short Term,true,,,
919 e 32nd st,5124767111,78705,true,453,625,austin,TX,st david's medical center,,450431,Short Term,true,,,
3201 west highway 22,9036546800,75110,,349,162,corsicana,TX,navarro regional hospital,,450447,Short Term,true,,,
1021 holden street,2548972215,76043,,425,16,glen rose,TX,glen rose medical center,,450451,Short Term,true,,,
1100 west bluff,4092838141,75979,,457,25,woodville,TX,tyler county hospital,,450460,Short Term,true,,,
8200 walnut hill lane,2143456789,75231,,113,866,dallas,TX,texas health presbyterian hospital  dallas,,450462,Short Term,true,,,
104 7th street,9792456383,77414,,321,58,bay city,TX,matagorda regional medical center,,450465,Short Term,true,,,
500 n highland avenue,9038704611,75091,true,181,241,sherman,TX,wilson n jones regional medical center,,450469,Short Term,true,,,
300 wilson street,9036577541,75652,true,401,158,henderson,TX,ut health east texas henderson hospital,,450475,Short Term,true,,,
505 south john redditt drive,9366348311,75904,true,5,117,lufkin,TX,woodland heights medical center,,450484,Short Term,true,,,
2200 n bryan ave,8068722183,79331,,115,21,lamesa,TX,medical arts hospital,,450489,Short Term,true,,,
200 south geneva street,2545592241,76424,,429,40,breckenridge,TX,stephens memorial hospital,,450498,Short Term,true,,,
,,77590,,167,325,texas city,TX,galveston co mem hosp,,45049E,,false,,,
1204 mound st,9365644611,75961,,347,231,nacogdoches,TX,nacogdoches memorial hospital,,450508,Short Term,true,,,
2555 jimmy johnson blvd,4098535900,77640,,245,216,port arthur,TX,the medical center of southeast texas,,450518,Short Term,true,,,
4600 samuell blvd,,75221,,113,140,dallas,TX,timberlawn sanitarium,,45051E,,false,,,
2831 e president george bush highway,4692041000,75082,,113,205,richardson,TX,methodist richardson medical center,,450537,Short Term,true,,,
2601 dimmitt rd,8062965531,79072,,189,100,plainview,TX,covenant hospital plainview,,450539,Short Term,true,,,
105 w 26th st,5128888888,78712,,453,84,austin,TX,university of texas student hlth ctr,,45053E,,false,,,
1212 w lancaster ave,,76102,,439,75,fort worth,TX,w i cook childrens hosp,,45054E,,false,,,
1650 w college st,8174811588,76051,,439,273,grapevine,TX,baylor scott & white medical center  grapevine,,450563,Short Term,true,,,
400 southwest 25 ave,9403257891,76067,,363,99,mineral wells,TX,palo pinto general hospital,,450565,Short Term,true,,,
120 e harris ave.,3256536741,76903,,451,441,san angelo,TX,shannon medical center,,450571,Short Term,true,,,
1275 marvin hancock drive,4093845461,75951,,241,59,jasper,TX,christus jasper memorial hospital,,450573,Short Term,true,,,
1020 s 4th st,8063236622,79014,,211,26,canadian,TX,hemphill county hospital,,450578,Short Term,true,,,
920 hillcrest dr,9405529351,76384,,487,28,vernon,TX,wilbarger general hospital,,450584,Short Term,true,,,
200 stadium drive,9408895572,76380,,023,25,seymour,TX,seymour hospital,,450586,Short Term,true,,,
1501 burnet dr,3256468541,76801,true,049,216,brownwood,TX,hendrick medical center brownwood,,450587,Short Term,true,,,
dyess afb,9518888888,79607,,441,70,abilene,TX,us air force hosp,,45058F,,false,,,
1310 paluxy rd,8175732683,76048,true,221,59,granbury,TX,lake granbury medical center,,450596,Short Term,true,,,
2550 n esplanade,3612756191,77954,,123,49,cuero,TX,cuero regional hospital,,450597,Short Term,true,,,
1020 south state highway 16,8309974353,78624,,171,84,fredericksburg,TX,hill country memorial hospital,,450604,Short Term,true,,,
po box 50600 cashr 04a,8063559703,79106,,375,149,amarillo,TX,va hosp,,45060F,,false,,,
921 gessner,7132423000,77024,,201,821,houston,TX,memorial hermann memorial city medical center,,450610,Short Term,true,,,
500 medical center blvd,2813322511,77598,true,201,528,webster,TX,hca houston healthcare clear lake,,450617,Short Term,true,,,
bergstrom afb,5128888888,78742,,453,30,austin,TX,us air force hosp,,45061F,,false,,,
webb air force base,5128888888,79720,,227,33,big spring,TX,us air force hosp,,45062F,,false,,,
3535 south i35 east,9403843535,76210,true,121,208,denton,TX,medical city denton,,450634,Short Term,true,,,
710 cypress creek parkway,2814401000,77090,true,201,423,houston,TX,hca houston healthcare northwest,,450638,Short Term,true,,,
1600 hospital parkway,8178484000,76022,,439,286,bedford,TX,texas health heb,,450639,Short Term,true,,,
300 veterans blvd,4322637361,79720,,227,250,big spring,TX,west texas va healthcare system,,45063F,,false,,,
100 park road,9408253235,76255,,337,38,nocona,TX,nocona general hospital,,450641,Short Term,true,,,
10700 mcpherson road,9565232000,78041,true,479,183,laredo,TX,doctors hospital of laredo,,450643,Short Term,true,,,
12141 richmond ave,2815888080,77082,true,201,302,houston,TX,hca houston healthcare west,,450644,Short Term,true,,,
7777 forest lane,9725666222,75230,true,113,963,dallas,TX,medical city dallas,,450647,Short Term,true,,,
east 9th st + lipscomb dr,,75418,,147,56,bonham,TX,va hosp,,45064F,,false,,,
3901 w 15th st,9725966800,75075,true,085,567,plano,TX,medical city plano,,450651,Short Term,true,,,
1601 w 11th place,4322631211,79720,true,227,146,big spring,TX,"scenic mountain medical center, a steward family h",,450653,Short Term,true,,,
128  n fm rd 3167,9564875561,78582,,427,48,rio grande city,TX,starr county memorial hospital,,450654,Short Term,true,,,
4920 ne stallings drive,9365699481,75965,,347,150,nacogdoches,TX,nacogdoches medical center,,450656,Short Term,true,,,
125 newman st,9033891612,75840,,161,37,fairfield,TX,freestone medical center,,450658,Short Term,true,,,
1313 hermann dr,7135275019,77004,true,201,508,houston,TX,hca houston healthcare medical center,,450659,Short Term,true,,,
,,78419,,355,150,corpus christi,TX,us naval hosp,,45065F,,false,,,
520 e 6th street,4325828340,79761,true,135,230,odessa,TX,odessa regional medical center,,450661,Short Term,true,,,
100 a alton gloor,9563507000,78526,true,061,214,brownsville,TX,valley regional medical center,,450662,Short Term,true,,,
1625 medical center dr,9157474000,79902,true,141,283,el paso,TX,sierra medical center,,450668,Short Term,true,,,
500 west main street,9724201000,75057,,121,202,lewisville,TX,medical city lewisville,,450669,Short Term,true,,,
4500 s lancaster rd,,75216,,113,771,dallas,TX,va hosp,,45066F,,false,,,
605 holderrieth,2813511623,77375,true,201,289,tomball,TX,hca houston healthcare tomball,,450670,Short Term,true,,,
900 eighth avenue,8173362100,76104,true,439,320,fort worth,TX,medical city fort worth,,450672,Short Term,true,,,
7600 fannin,7137901234,77054,true,201,397,houston,TX,"womans hospital of texas,the",,450674,Short Term,true,,,
3301 matlock road,8174653241,76015,true,439,420,arlington,TX,medical city arlington,,450675,Short Term,true,,,
11801 south freeway,8175685317,76028,true,251,213,burleson,TX,texas health huguley hospital fort worth south,,450677,Short Term,true,,,
9440 poppy dr,2143246100,75218,true,113,232,dallas,TX,white rock medical center,,450678,Short Term,true,,,
laughlin afb,,78840,,465,25,del rio,TX,us air force hosp,,45067F,,false,,,
18951 memorial north,2815407700,77338,,201,242,humble,TX,memorial hermann northeast hospital,,450684,Short Term,true,,,
602 indiana avenue,8067758200,79415,,303,495,lubbock,TX,university medical center,,450686,Short Term,true,,,
1011 north galloway avenue,2143207000,75149,true,113,172,mesquite,TX,dallas regional medical center,,450688,Short Term,true,,,
dyer st,9158888888,79920,,141,750,el paso,TX,william beaumont gen hosp,,45068F,,false,,,
11937 us highway 271,9038777777,75708,true,423,182,tyler,TX,university of texas health science center at tyler,,450690,Short Term,true,,,
303 sandy corner rd,9795785251,77437,,481,49,el campo,TX,el campo memorial hospital,,450694,Short Term,true,,,
7400 barlite blvd,2109212000,78224,,029,325,san antonio,TX,texas vista medical center,,450697,Short Term,true,,,
1500 s sunset,8063856411,79339,,279,75,littlefield,TX,lamb healthcare center,,450698,Short Term,true,,,
brooke army medical center,,78234,,029,950,fort sam houston,TX,us army hosp,,45069F,,false,,,
2901 n fourth st,9037581818,75605,true,183,230,longview,TX,longview regional medical center,,450702,Short Term,true,,,
18300 houston methodist dr,2813335503,77058,,201,178,nassau bay,TX,houston methodist clear lake hospital,,450709,Short Term,true,,,
,8178888888,76544,,027,285,fort hood,TX,us army hosp,,45070F,,false,,,
101 e ridge rd,9566326000,78503,true,215,320,mcallen,TX,rio grande regional hospital,,450711,Short Term,true,,,
901 west ben white blvd,5124487107,78704,true,453,368,austin,TX,st david's south austin medical center,,450713,Short Term,true,,,
2400 round rock ave,5123411000,78681,true,491,175,round rock,TX,round rock medical center,,450718,Short Term,true,,,
carswell afb,,76127,,439,225,fort worth,TX,us air force hosp,,45071F,,false,,,
3500 w wheatland road,2149477777,75237,,113,285,dallas,TX,methodist charlton medical center,,450723,Short Term,true,,,
p o box 100,,76119,,439,775,fort worth,TX,us public health service hosp,,45072F,,false,,,
4343 north josey lane,9723942255,75010,true,121,197,carrollton,TX,carrollton regional medical center,,450730,Short Term,true,,,
45th st + ave n,,77550,,167,160,galveston,TX,us public health service hosp,,45073F,,false,,,
6800 scenic dr,9724122273,75088,,113,112,rowlett,TX,baylor scott and white medical center lake pointe,,450742,Short Term,true,,,
3000 n i-35,9408987000,76201,,121,255,denton,TX,texas health presbyterian hospital denton,,450743,Short Term,true,,,
2900 s loop 256,9037311000,75801,true,1,160,palestine,TX,palestine regional medical center,,450747,Short Term,true,,,
2002 holcombe blvd,,77031,,201,1253,houston,TX,va hosp,,45074F,,false,,,
1900 college ave,8068944963,79336,,219,48,levelland,TX,covenant hospital levelland,,450755,Short Term,true,,,
,,78028,,265,362,kerrville,TX,va hosp,,45075F,,false,,,
,,79840,,,25,la tuna,TX,federal correctional institute hosp,,45076F,,false,,,
6200 w parker rd,9729818000,75093,,085,203,plano,TX,texas health presbyterian hospital plano,,450771,Short Term,true,,,
17080 red oak drive,2815392900,77090,,201,15,houston,TX,tops surgical specialty hospital,,450774,Short Term,true,,,
22999 us hwy 59,2813597500,77325,true,201,582,kingwood,TX,hca houston healthcare kingwood,,450775,Short Term,true,,,
6100 harris pkwy,8174335000,76132,,439,630,fort worth,TX,texas health harris methodist hospital southwest f,,450779,Short Term,true,,,
laredo afb,,78040,,479,25,laredo,TX,us air force hosp,,45077F,,false,,,
6629 woodridge road,3617611501,78414,true,355,631,corpus christi,TX,"corpus christi medical center,the",,450788,Short Term,true,,,
reese afb,9158888888,79401,,303,30,lubbock,TX,us air force hosp,,45078F,,false,,,
1016 ward st,,76661,,145,201,marlin,TX,va hosp,,45079F,,false,,,
2600 st michael dr,9036141000,75503,true,037,376,texarkana,TX,christus st michael health system,,450801,Short Term,true,,,
7401 south main street,7137998600,77030,,201,49,houston,TX,texas orthopedic hospital,,450804,Short Term,true,,,
6818 austin ctr blvd suite 100,5123461994,78731,true,453,8,austin,TX,northwest hills surgical hospital,,450808,Short Term,true,,,
12221 mopac expressway north,5129011000,78758,true,453,472,austin,TX,north austin medical center,,450809,Short Term,true,,,
ft wolters,,76067,,363,75,mineral wells,TX,us army hosp,,45080F,,false,,,
2200 berguiste dr suite 1,2106712907,78236,,029,1000,lackland a f b,TX,wilford hall medical center,,45081F,,false,,,
16655 southwest freeway,2812748000,77479,,157,340,sugar land,TX,houston methodist sugarland hospital,,450820,Short Term,true,,,
6800 n macarthur blvd,9729692000,75039,true,113,100,irving,TX,medical city las colinas,,450822,Short Term,true,,,
2302 cornerstone boulevard,9566184444,78539,,215,14,edinburg,TX,cornerstone regional hospital,,450825,Short Term,true,,,
5420 kell west boulevard,9406925888,76310,true,485,41,wichita falls,TX,kell west regional hospital,,450827,Short Term,true,,,
2500 e main street,3616618016,78332,,249,135,alice,TX,christus spohn hospital alice,,450828,Short Term,true,,,
goodfellow afb,5128888888,76901,,451,25,san angelo,TX,us air force hosp,,45082F,,false,,,
4301 b vista,7133783000,77504,true,201,37,pasadena,TX,surgery specialty hospitals of america se houston,,450831,Short Term,true,,,
2201 west lampasas street,9728750900,75119,true,139,60,ennis,TX,ennis regional medical center,,450833,Short Term,true,,,
3131 university drive east,9797313100,77802,true,041,16,bryan,TX,"physicians centre,the",,450834,Short Term,true,,,
randolph afb,,78148,,029,25,san antonio,TX,us air force hosp,,45083F,,false,,,
1105 central expressway north,9727476197,75013,,085,29,allen,TX,texas health presbyterian hospital allen,,450840,Short Term,true,,,
18220 state highway 249,2814771000,77070,,201,313,houston,TX,houston methodist willowbrook hospital,,450844,Short Term,true,,,
23900 katy freeway,2813921111,77494,,201,208,katy,TX,memorial hermann katy hospital,,450847,Short Term,true,,,
17500 w grand parkway south,2817255000,77479,,157,179,sugar land,TX,memorial hermann sugar land hospital,,450848,Short Term,true,,,
,,75159,,113,25,seagoville,TX,federal correctional institute hosp,,45084F,,false,,,
621 north hall street,2148200670,75226,true,113,61,dallas,TX,baylor scott and white heart and vascular hospital,,450851,Short Term,true,,,
5601 warren parkway,2146182000,75034,true,085,25,frisco,TX,baylor medical center at frisco,,450853,Short Term,true,,,
5501 south expressway 77,9563651000,78550,true,061,112,harlingen,TX,harlingen medical center,,450855,Short Term,true,,,
18600 north hardy oak blvd,2104040800,78258,,029,30,san antonio,TX,south texas spine and surgical hospital,,450856,Short Term,true,,,
perrin afb,,75090,,181,30,sherman,TX,us air force hosp,,45085F,,false,,,
16906 southwest freeway,2812431000,77479,,157,6,sugar land,TX,sugar land surgical hospital llp,,450860,Short Term,true,,,
17200 st luke's way,9362664050,77384,,339,241,the woodlands,TX,st luke's the woodlands hospital,,450862,Short Term,true,,,
1814 roseland boulevard,9035253300,75701,,423,20,tyler,TX,baylor scott & white texas spine & joint hospital,,450864,Short Term,true,,,
7900 fm 1826,5123249000,78737,,453,28,austin,TX,ascension seton  southwest,,450865,Short Term,true,,,
11113 research boulevard,5123246000,78759,,453,124,austin,TX,ascension seton northwest,,450867,Short Term,true,,,
5501 south mccoll,9563628677,78539,,215,519,edinburg,TX,doctors hospital at renaissance,,450869,Short Term,true,,,
,2548888888,76501,,027,758,temple,TX,va center,,45086F,,false,,,
3003 bee caves road,5123479888,78746,,453,23,austin,TX,arise austin medical center,,450871,Short Term,true,,,
801 w interstate 20,8174723400,76017,,439,34,arlington,TX,usmd hospital at arlington l p,,450872,Short Term,true,,,
400 west lyndon b johnson suite 101b,9728684000,75063,true,113,20,irving,TX,baylor scott and white surgical hospital las colin,,450874,Short Term,true,,,
6819 plum creek,8063546100,79124,true,375,40,amarillo,TX,quail creek surgical hospital,,450875,Short Term,true,,,
4810 north loop 289,8066877777,79416,,303,74,lubbock,TX,lubbock heart hospital lp,,450876,Short Term,true,,,
1416 george dieter,9155984240,79936,true,141,40,el paso,TX,foundation surgical hospital of el paso,,450877,Short Term,true,,,
james connally afb,2548888888,76703,,309,45,waco,TX,us air force hosp,,45087F,,false,,,
1800 park place avenue,6827035600,76110,,439,34,fort worth,TX,baylor scott and white surgical hospital fortworth,,450880,Short Term,true,,,
2850  e state highway 114,8178374600,76262,true,121,20,trophy club,TX,baylor medical center at trophy club,,450883,Short Term,true,,,
12505 lebanon road,9729633333,75035,,085,118,frisco,TX,baylor scott &  white medical center - centennial,,450885,Short Term,true,,,
1545 e southlake blvd,8177488700,76092,true,439,6,southlake,TX,texas health harris methodist hospital southlake,,450888,Short Term,true,,,
7115 greenville avenue suite 100,2146475300,75231,true,113,9,dallas,TX,texas institute for surgery at presbyterian hospit,,450889,Short Term,true,,,
,2548888888,76703,,309,1590,waco,TX,va hosp,,45088F,,false,,,
4700 alliance boulevard,4698142000,75093,,085,160,plano,TX,baylor regional medical center at plano,,450890,Short Term,true,,,
6020 w parker road,9724032700,75093,true,085,18,plano,TX,texas health center for diagnostics & surgery plan,,450891,Short Term,true,,,
2801 south mayhill road,9402200600,76208,,121,16,denton,TX,the heart hospital baylor denton,,450893,Short Term,true,,,
sheppard afb,,76311,,485,296,wichita falls,TX,us air force hosp,,45089F,,false,,,
